school_code,cca,cca_category
3004,"Handbell Ensemble (Girls)",Arts
3004,"Modern Dance (Girls)",Arts
3004,"Concert Band (Girls)",Arts
3004,"Audio Visual Aid (Girls)",Arts
3004,"English Language, Drama and Debating (Girls)",Arts
3004,"Chinese Language, Drama and Debating (Girls)","Clubs and Societies"
3004,"Indian Language, Drama and Debating (Girls)",Arts
3004,"Infocomm Technology (Computing) (Girls)","Clubs and Societies"
3004,"Malay Language, Drama and Debating (Girls)",Arts
3004,"Environmental Science (Girls)","Clubs and Societies"
7008,"Badminton (Girls)",Sports
7008,"Canoeing (Girls)",Sports
7008,"Netball (Girls)",Sports
7008,"Track and Field (Girls)",Sports
7008,"Floorball (Girls)",Sports
7008,"Bowling (Girls)",Sports
7008,"Modular CCA (Sports) (Girls)","Clubs and Societies"
7008,"Girl Guides (Girls)","Uniform Group"
7008,"National Civil Defence Cadet Corps (NCDCC) (Girls)","Uniform Group"
7008,"Chinese Orchestra (Girls)","Clubs and Societies"
7008,"Choir (Girls)",Arts
7008,"Modern Dance (Girls)",Arts
7008,"Chinese Drama (Girls)","Clubs and Societies"
7008,"English Drama (Girls)",Arts
7008,"Concert Band (Girls)",Arts
7008,"Debating and Public Speaking (Girls)","Clubs and Societies"
7008,"Heritage (Girls)","Clubs and Societies"
7008,"Entrepreneurship (Girls)","Clubs and Societies"
7008,"Infocomm Technology (Media Production) (Girls)","Clubs and Societies"
7004,"Badminton (Girls)",Sports
7004,"Basketball (Girls)",Sports
7004,"Netball (Girls)",Sports
7004,"Track and Field (Girls)",Sports
7004,"Tennis (Girls)",Sports
7004,"Bowling (Girls)",Sports
7004,"Rhythmic Gymnastics (Girls)",Sports
7004,"Girl Guides (Girls)","Uniform Group"
7004,"Red Cross Youth (Girls)","Uniform Group"
7004,"National Cadet Corps (NCC) (Sea) (Girls)","Uniform Group"
7004,"Choir (Girls)",Arts
7004,"Guitar Ensemble (Girls)",Arts
7004,"Modern Dance (Girls)",Arts
7004,"English Drama (Girls)",Arts
7004,"Concert Band (Girls)",Arts
7004,"Art and Crafts (Girls)",Arts
7004,"Debating and Public Speaking (Girls)","Clubs and Societies"
7004,"Chinese Culture and Language (Girls)","Clubs and Societies"
7004,"Robotics (Girls)","Clubs and Societies"
7004,"Infocomm Technology (Media Production) (Girls)","Clubs and Societies"
7004,"Community Service (Girls)","Clubs and Societies"
7019,"Shooting (Girls)",Sports
7019,"Badminton (Girls)",Sports
7019,"Netball (Girls)",Sports
7019,"Table Tennis (Girls)",Sports
7019,"Volleyball (Girls)",Sports
7019,"Modular CCA (Sports) (Girls)","Clubs and Societies"
7019,"Girl Guides (Girls)","Uniform Group"
7019,"National Police Cadet Corps (NPCC) (Girls)","Uniform Group"
7019,"St John Brigade (Girls)","Uniform Group"
7019,"Angklung/Kulintang Ensemble (Girls)",Arts
7019,"Choir (Girls)",Arts
7019,"Guitar Ensemble (Girls)",Arts
7019,"Handbell Ensemble (Girls)",Arts
7019,"Modern Dance (Girls)",Arts
7019,"Concert Band (Girls)",Arts
7019,"Speech and Drama (Girls)",Arts
7019,"Infocomm Technology (Media Production) (Girls)","Clubs and Societies"
7019,"Community Service (Girls)","Clubs and Societies"
7019,"Food and Consumer Education (Girls)","Clubs and Societies"
7118,"Badminton (Girls)",Sports
7118,"Hockey (Girls)",Sports
7118,"Netball (Girls)",Sports
7118,"Track and Field (Girls)",Sports
7118,"Table Tennis (Girls)",Sports
7118,"Artistic Gymnastics (Girls)",Arts
7118,"Rhythmic Gymnastics (Girls)",Sports
7118,"Girl Guides (Girls)","Uniform Group"
7118,"National Police Cadet Corps (NPCC) (Girls)","Uniform Group"
7118,"St John Brigade (Girls)","Uniform Group"
7118,"Chinese Orchestra (Girls)","Clubs and Societies"
7118,"Choir (Girls)",Arts
7118,"String Ensemble (Girls)",Arts
7118,"Chinese Dance (Girls)","Clubs and Societies"
7118,"Chinese Drama (Girls)","Clubs and Societies"
7118,"English Drama (Girls)",Arts
7118,"Art and Crafts (Girls)",Arts
7118,"Debating and Public Speaking (Girls)","Clubs and Societies"
7118,"Chinese Culture and Language (Girls)","Clubs and Societies"
7118,"Infocomm Technology (Computing) (Girls)","Clubs and Societies"
7118,"Media Resource Library (Girls)","Clubs and Societies"
7118,"Environmental Science (Girls)","Clubs and Societies"
7118,"Community Service (Girls)","Clubs and Societies"
7118,"Strategy Games (Girls)","Clubs and Societies"
7023,"Hockey (Girls)",Sports
7023,"Netball (Girls)",Sports
7023,"Softball (Girls)",Sports
7023,"Track and Field (Girls)",Sports
7023,"Floorball (Girls)",Sports
7023,"Bowling (Girls)",Sports
7023,"Girl Guides (Girls)","Uniform Group"
7023,"National Police Cadet Corps (NPCC) (Girls)","Uniform Group"
